Age_Group,Year,Population
18~19,2024,51565
20-24,2024,626593
25-29,2024,1903933
30-34,2024,2345031
35-39,2024,2172632
40-44,2024,2672876
45-49,2024,2694512
50-54,2024,3175907
55-59,2024,3064047
60+,2024,479224
18~19,2023,55939
20-24,2023,678993
25-29,2023,1971394
30-34,2023,2290708
35-39,2023,2183133
40-44,2023,2777224
45-49,2023,2723271
50-54,2023,3230304
55-59,2023,2995558
60+,2023,534011
18~19,2022,64582
20-24,2022,726236
25-29,2022,1994194
30-34,2022,2208254
35-39,2022,2233118
40-44,2022,2736681
45-49,2022,2833510
50-54,2022,3248920
55-59,2022,2887301
60+,2022,500829
18~19,2021,66826
20-24,2021,749178
25-29,2021,1978068
30-34,2021,2089254
35-39,2021,2304072
40-44,2021,2650769
45-49,2021,2868089
50-54,2021,3167900
55-59,2021,2845340
60+,2021,543121
18~19,2020,64526
20-24,2020,740736
25-29,2020,1940037
30-34,2020,2007240
35-39,2020,2387695
40-44,2020,2556944
45-49,2020,2936130
50-54,2020,3014528
55-59,2020,2834620
60+,2020,526558
18~19,2019,77936
20-24,2019,769019
25-29,2019,1895384
30-34,2019,1995500
35-39,2019,2470626
40-44,2019,2497854
45-49,2019,2978015
50-54,2019,2924674
55-59,2019,2832694
60+,2019,497867
18~19,2018,80082
20-24,2018,788558
25-29,2018,1824482
30-34,2018,1965045
35-39,2018,2505405
40-44,2018,2461144
45-49,2018,2952025
50-54,2018,2796556
55-59,2018,2768684
60+,2018,470601
18~19,2017,100553
20-24,2017,762381
25-29,2017,1719382
30-34,2017,1969648
35-39,2017,2404246
40-44,2017,2491076
45-49,2017,2891251
50-54,2017,2636205
55-59,2017,2678018
60+,2017,345295
18~19,2016,115138
20-24,2016,776798
25-29,2016,1663301
30-34,2016,2057639
35-39,2016,2328552
40-44,2016,2514846
45-49,2016,2807778
50-54,2016,2588292
55-59,2016,2523775
60+,2016,283136
18~19,2015,110924
20-24,2015,747833
25-29,2015,1607355
30-34,2015,2128771
35-39,2015,2220523
40-44,2015,2538883
45-49,2015,2638038
50-54,2015,2547495
55-59,2015,2297851
60+,2015,219116
18~19,2014,100870
20-24,2014,699051
25-29,2014,1594029
30-34,2014,2185394
35-39,2014,2140353
40-44,2014,2542430
45-49,2014,2522798
50-54,2014,2506841
55-59,2014,2094317
60+,2014,168038
18~19,2013,98769
20-24,2013,671518
25-29,2013,1602036
30-34,2013,2237230
35-39,2013,2119412
40-44,2013,2535622
45-49,2013,2422730
50-54,2013,2463875
55-59,2013,1901123
60+,2013,117024
18~19,2012,93201
20-24,2012,650194
25-29,2012,1643426
30-34,2012,2160804
35-39,2012,2153176
40-44,2012,2497327
45-49,2012,2291974
50-54,2012,2394338
55-59,2012,1690856
60+,2012,88585
